productCode,productName,latestOrderDate
S10_1678,"1969 Harley Davidson Ultimate Chopper",2005-05-13
S10_1949,"1952 Alpine Renault 1300",2005-05-31
S10_2016,"1996 Moto Guzzi 1100i",2005-05-13
S10_4698,"2003 Harley-Davidson Eagle Drag Bike",2005-05-13
S10_4757,"1972 Alfa Romeo GTA",2005-05-06
S10_4962,"1962 LanciaA Delta 16V",2005-05-31
S12_1099,"1968 Ford Mustang",2005-05-17
S12_1108,"2001 Ferrari Enzo",2005-05-05
S12_1666,"1958 Setra Bus",2005-05-31
S12_2823,"2002 Suzuki XREO",2005-05-13
S12_3148,"1969 Corvair Monza",2005-05-05
S12_3380,"1968 Dodge Charger",2005-05-17
S12_3891,"1969 Ford Falcon",2005-05-05
S12_3990,"1970 Plymouth Hemi Cuda",2005-05-17
S12_4473,"1957 Chevy Pickup",2005-05-31
S12_4675,"1969 Dodge Charger",2005-05-17
S18_1097,"1940 Ford Pickup Truck",2005-05-31
S18_1129,"1993 Mazda RX-7",2005-05-17
S18_1342,"1937 Lincoln Berline",2005-05-30
S18_1367,"1936 Mercedes-Benz 500K Special Roadster",2005-05-30
S18_1589,"1965 Aston Martin DB5",2005-05-17
S18_1662,"1980s Black Hawk Helicopter",2005-05-10
S18_1749,"1917 Grand Touring Sedan",2005-05-29
S18_1889,"1948 Porsche 356-A Roadster",2005-05-17
S18_1984,"1995 Honda Civic",2005-05-17
S18_2238,"1998 Chrysler Plymouth Prowler",2005-05-31
S18_2248,"1911 Ford Town Car",2005-05-29
S18_2319,"1964 Mercedes Tour Bus",2005-05-31
S18_2325,"1932 Model A Ford J-Coupe",2005-05-29
S18_2432,"1926 Ford Fire Engine",2005-05-31
S18_2581,"P-51-D Mustang",2005-05-10
S18_2625,"1936 Harley Davidson El Knucklehead",2005-05-13
S18_2795,"1928 Mercedes-Benz SSK",2005-05-29
S18_2870,"1999 Indy 500 Monte Carlo SS",2005-05-17
S18_2949,"1913 Ford Model T Speedster",2005-05-30
S18_2957,"1934 Ford V8 Coupe",2005-05-30
S18_3029,"1999 Yamaha Speed Boat",2005-05-06
S18_3136,"18th Century Vintage Horse Carriage",2005-05-30
S18_3140,"1903 Ford Model A",2005-05-06
S18_3232,"1992 Ferrari 360 Spider red",2005-05-31
S18_3259,"Collectable Wooden Train",2005-05-06
S18_3278,"1969 Dodge Super Bee",2005-05-16
S18_3320,"1917 Maxwell Touring Car",2005-05-30
S18_3482,"1976 Ford Gran Torino",2005-05-16
S18_3685,"1948 Porsche Type 356 Roadster",2005-05-17
S18_3782,"1957 Vespa GS150",2005-05-16
S18_3856,"1941 Chevrolet Special Deluxe Cabriolet",2005-05-09
S18_4027,"1970 Triumph Spitfire",2005-05-05
S18_4409,"1932 Alfa Romeo 8C2300 Spider Sport",2005-05-29
S18_4522,"1904 Buick Runabout",2005-05-06
S18_4600,"1940s Ford truck",2005-05-31
S18_4668,"1939 Cadillac Limousine",2005-05-31
S18_4721,"1957 Corvette Convertible",2005-05-16
S18_4933,"1957 Ford Thunderbird",2005-05-29
S24_1046,"1970 Chevy Chevelle SS 454",2005-05-29
S24_1444,"1970 Dodge Coronet",2005-05-31
S24_1578,"1997 BMW R 1100 S",2005-05-13
S24_1628,"1966 Shelby Cobra 427 S/C",2005-05-29
S24_1785,"1928 British Royal Navy Airplane",2005-05-10
S24_1937,"1939 Chevrolet Deluxe Coupe",2005-05-29
S24_2000,"1960 BSA Gold Star DBD34",2005-05-10
S24_2011,"18th century schooner",2005-05-06
S24_2022,"1938 Cadillac V-16 Presidential Limousine",2005-05-29
S24_2300,"1962 Volkswagen Microbus",2005-05-31
S24_2360,"1982 Ducati 900 Monster",2005-05-16
S24_2766,"1949 Jaguar XK 120",2005-05-29
S24_2840,"1958 Chevy Corvette Limited Edition",2005-05-31
S24_2841,"1900s Vintage Bi-Plane",2005-05-09
S24_2887,"1952 Citroen-15CV",2005-05-29
S24_2972,"1982 Lamborghini Diablo",2005-05-17
S24_3151,"1912 Ford Model T Delivery Wagon",2005-05-06
S24_3191,"1969 Chevrolet Camaro Z28",2005-05-29
S24_3371,"1971 Alpine Renault 1600s",2005-05-17
S24_3420,"1937 Horch 930V Limousine",2005-05-09
S24_3432,"2002 Chevy Corvette",2005-05-29
S24_3816,"1940 Ford Delivery Sedan",2005-05-06
S24_3856,"1956 Porsche 356A Coupe",2005-05-17
S24_3949,"Corsair F4U ( Bird Cage)",2005-05-10
S24_3969,"1936 Mercedes Benz 500k Roadster",2005-05-29
S24_4048,"1992 Porsche Cayenne Turbo Silver",2005-05-03
S24_4258,"1936 Chrysler Airflow",2005-05-30
S24_4278,"1900s Vintage Tri-Plane",2005-05-10
S24_4620,"1961 Chevrolet Impala",2005-05-16
S32_1268,"1980’s GM Manhattan Express",2005-05-31
S32_1374,"1997 BMW F650 ST",2005-05-10
S32_2206,"1982 Ducati 996 R",2005-05-16
S32_2509,"1954 Greyhound Scenicruiser",2005-05-31
S32_3207,"1950's Chicago Surface Lines Streetcar",2005-05-05
S32_3522,"1996 Peterbilt 379 Stake Bed with Outrigger",2005-05-31
S32_4289,"1928 Ford Phaeton Deluxe",2005-05-10
S32_4485,"1974 Ducati 350 Mk3 Desmo",2005-05-16
S50_1341,"1930 Buick Marquette Phaeton",2005-05-10
S50_1392,"Diamond T620 Semi-Skirted Tanker",2005-05-31
S50_1514,"1962 City of Detroit Streetcar",2005-05-05
S50_4713,"2002 Yamaha YZR M1",2005-05-16
S700_1138,"The Schooner Bluenose",2005-05-06
S700_1691,"American Airlines: B767-300",2005-05-10
S700_1938,"The Mayflower",2005-05-06
S700_2047,"HMS Bounty",2005-05-09
S700_2466,"America West Airlines B757-200",2005-05-10
S700_2610,"The USS Constitution Ship",2005-05-06
S700_2824,"1982 Camaro Z28",2005-05-31
S700_2834,"ATA: B757-300",2005-05-10
S700_3167,"F/A 18 Hornet 1/72",2005-05-10
S700_3505,"The Titanic",2005-05-06
S700_3962,"The Queen Mary",2005-05-06
